,datePublished,user,text_header,verified,text_content,Aircraft,Type Of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Wifi & Connectivity,Value For Money,Recommended
62,21st December 2023,Manashwini Gurumurthy,"""keep delaying the flights often""",✅ Trip Verified ,"  The flight was supposed to be departed at 10.55am from Chennai, it is currently 12.58pm and the boarding has not even commenced. The flight has been delayed without any proper communication for more than 4 times and it seems this is not the first time this Spicejet route is delayed. If they know that there is a discrepancy n regulatory requirement for flights to have an one-hour maintenance after an international trip, the spicejet team should have an alternate carrier or avoid this route. They keep delaying the flights often.",NA,Family Leisure,Economy Class,Chennai to Hyderabad,December 2023,1,1,NA,NA,1,NA,1,no
63,17th December 2023,T Hamson,"""not up to par with standards""",✅ Trip Verified ,  Spicejet services are not up to par with standards. Heavily delayed flight schedule. Flight delayed for more than 4 hours. The delay impacts a lot. Wheelchair assistance was ordered but the very impolite ground staff in Kolkata Airport. The ground staff showed tempers in front of customers. Cabin crew has a professional attitude but have a restricted leg space.,NA,Business,Economy Class,Kolkata to Bangalore,November 2023,2,4,2,NA,3,1,2,no
64,12th December 2023,Rishabh Malhotra,"""Terrible service""",✅ Trip Verified ,"  Terrible service by the airline. All the flights that I took this year with spiceJet were delayed by atleast 4-5 hours each. Also, they don’t inform the passengers via text/ mail regarding the delays to waste your precious time. Will never book spicejet again. This company should literally stop their operations, recent stats show that almost 100% of their flights are delayed.",NA,Solo Leisure,Economy Class,Delhi to Hyderabad,December 2023,1,1,1,1,1,1,1,no
65,7th December 2023,N Jaltam,"""Horrible experience with this airline""",✅ Trip Verified ,  This airline should shut down. Re-scheduled many times. I took a margin of 5 hours between my follow up train. Indian railways was bang on time and even 5 hours were not enough for them to resolve their internal problems. I missed my train and was sitting helpless at airport in mid ight with my kids. Horrible experience with this airline.,NA,Family Leisure,Economy Class,Ahmedabad to Delhi,December 2023,1,1,1,1,1,1,1,no
66,4th December 2023,S Suryawanshi,"""Rescheduled so many times""",Not Verified ,"  12 hours late. No ground arrangements, No food provided. Rescheduled so many times. Not only my flight other Mumbai Kolkata and Delhi flight were delayed beyond limit. No valid reason for delay. No blankets provided to customers even after demand. Even at the time of boarding, no announcement",NA,Family Leisure,Economy Class,Goa to Pune,December 2023,4,2,2,1,1,NA,1,no
67,1st December 2023,Pratik Kadu,“no facilities provided”,✅ Trip Verified ," I have booked my SpiceJet flight from DXB to BOM airport, this flight was delayed for 7 hrs  but there was no email or call from customer services, around 200 passengers are waiting for the flight. It was my worst experience ever and the same for more than 199 passengers experience. Also there was no facilities provided such as hotel appointments or food or offering a glass of water to passengers. I’m highly recommending to not ever book this flight.",NA,Couple Leisure,Economy Class,Dubai to Mumbai,December 2023,1,1,1,1,1,1,1,no
68,1st December 2023,S Janeer,"""Truly third class airline""",✅ Trip Verified ,  Flight canceled. The staff has regret no feelings for passengers. I was so depressed where to go with my daughter at 12 am. Truly third class airline.,NA,Family Leisure,Economy Class,Kolkata to Delhi,November 2023,NA,NA,NA,NA,1,NA,1,no
69,26th November 2023,Jayraj Dabral,"""Their timeliness is the worst""",✅ Trip Verified ," SpiceJet is the worst airline in the world. My last 5 SpiceJet experiences. 1 flight cancellation, 1 airport change, 3 flights depart delayed twice to thrice. SpiceJet interior experience is the worst, their on-ground services are pathetic. Their customer service is unresponsive. Their timeliness is the worst. Please avoid this worst service provider if possible.",NA,Solo Leisure,Economy Class,Bangkok to Kolkata,November 2023,1,1,1,1,1,1,1,no
70,24th November 2023,Jnana Devaprasad,"""completely unreliable""",Not Verified ," The worst airline ever, period! A really disappointing encounter. To begin with, their website loads incredibly slowly due to its terrible user experience. Despite everyone's criticism, I made my first-ever flight reservation due to some time constraints, and guess what? They were entirely correct. My flight, which was scheduled to depart at 10:20 pm, was originally changed to 1:55 am, extended to 4:10 am, and then delayed again to 4:40am while I was at the airport. Being a professional with a demanding schedule, I trusted and reserved this flight to have surgery the next morning. Please consider other airlines before making a commitment with Spicejet. This airline is completely unreliable. I have been away from home for nearly six years, and no other airline has ever caused me these kind of problems.",NA,Solo Leisure,Economy Class,Mumbai to Bangalore,November 2023,2,2,NA,NA,2,NA,2,no
71,19th November 2023,R Prasanna,"""staff is rude and arrogant""",✅ Trip Verified ,"  It's better to not fly if this is the last option for you to fly. The flight is delayed is no reason. The time of delay is never communicated. The duration of delay can ever extend. And the biggest issue is that they won't ever approach or be available to address the concerns of the passengers. The response to why the delay happened will be so technical that you will wish to not have asked for it. The staff is rude and arrogant. In short, avoid this at all costs unless you have nothing to do on the day you wish to fly and are okay to spend time walking around the airport or spend time shopping at the airport.",NA,Solo Leisure,Economy Class,Delhi to Mumbai,November 2023,1,1,1,1,1,1,1,no
72,18th November 2023,S Marhan,"""I enjoyed my journey""",✅ Trip Verified ,"  It was a brilliant experience with this airline, I have flew many time with other airline, but, I enjoyed my journey with this airline and the staff. Behavior of the staff is very polite and sweet.",Boeing 737 MAX 8,Solo Leisure,Economy Class,Delhi to Bangalore,November 2023,5,5,NA,NA,5,NA,5,yes
73,17th November 2023,Vignesh Vicky,"""No proper customer support""",Not Verified ,  Very worst airline. No proper customer support. They will change flight departure time for there comfortable time. Won’t refund the money if the issue is from SpiceJet. Won’t give any prior message if the flight get cancelled by text message or by WhatsApp. SpiceJet is good only for promotions. No response from airport SpiceJet customer care in Mumbai airport terminal no1. Because this change I have spent 3000rs for cab for travelling to airport.,NA,Business,Economy Class,Mumbai to Chennai,November 2023,1,1,1,1,1,1,1,no
74,4th November 2023,Apurba Patra,"""must value its customer's time""",✅ Trip Verified ,  Flight has been delayed up to 1.20 hrs. Being a passenger delay is understandable or adjustable upto 10-15 mins in the worst scenario 30 mins but 1.2 hrs is too late. Spicejet must value its customer's time.,NA,Solo Leisure,Economy Class,Ahmedabad to Kolkata,November 2023,2,3,NA,NA,3,NA,1,no
75,1st November 2023,S Kornas,"""seats were broken and worn out""",✅ Trip Verified ,"  At check in the lady asked for my ticket i have presented it via my phone and then took the boarding pass and proceeded to immigration, upon asking about my visa at the immigration I realized that I forget my phone at the check in counter, I rushed back to the counter and asked the lady about my phone then surprisingly with a very casual attitude she said ( yeh it’s here ).  Later the flight got delayed by 3 hours and 30 mins without any proper notice, to my surprise while checking upon the same with the airlines ground staff they were completely clueless of why this flight is getting delayed. The condition of the aircraft itself was far from satisfactory, seats were broken and worn out. My seat belt was broken and when I introduced it to the crew member they have no good choices and asked me to wear the broken seat belt.",NA,Solo Leisure,Economy Class,Delhi to Dubai,October 2023,1,1,1,1,1,NA,1,no
76,28th October 2023,Shamit Bhasin,"""worst experience I ever had""",Not Verified ,  The worst experience I ever had. The flight was delayed by 30 mins first then delayed again but we were not even informed about that and just stalled for an hour more. After that on arrival we were informed that even our luggage hasn't been transported and will be delivered the next day. 5am in the morning we were asked to fill forms for the same. The level of unprofessionalism is just too much. The best advice I can give to any fellow traveller is spend a bit more but don't prefer this airline.,NA,Family Leisure,Economy Class,Dubai to Delhi,October 2023,1,1,1,1,1,1,1,no
77,22nd October 2023,R Shakar,"""No compensation or apology offered""",✅ Trip Verified ,"  The management of flights and addressing customer care issues is extremely unprofessional. Flight from Bagdogra got delayed by 3 hours. No compensation or apology offered. The flight from Kolkata to Port Blair got cancelled and the only thing I received was an automated message saying it's cancelled. The link given in the same message showed me no flights available. Customer care executive picked up after calling for the 10th time and waiting for almost 20 mins on the line. The resolution offered? She said don't get on the Bagdogra flight. Contact staff at the airport. Wouldn't have called if that had helped. Extremely unprofessional in sticking to the planned take off time. And my complaints were treated like a bother and received half hearted efforts from staff at every level. Even now, as I'm waiting at Kolkata airport, it seems likely that there will be delays and more inconvenience.",NA,Solo Leisure,Economy Class,Bagdogra to Port Blair via Kolkata,October 2023,2,3,3,1,1,2,1,no
78,14th October 2023,V Gupta,“a pretty good flight”,✅ Trip Verified ," On my return to Mumbai from Kolkata, the airline auto-assigned me a random seat as I had selected that option during the web check-in. The baggage drop process at CCU airport was smooth and boarding also started on time. This time I was pleased to notice that the crew members were actually greeting all the passengers which was much better compared to the last time I had flown them. Departure was smooth and as this was an overnight flight the cabin lights were dimmed for most of the flight. Descent and landing were on time followed by a swift luggage retrieval. Overall for the price that was paid this was a pretty good flight. The airline has been undergoing a lot of difficulties in recent times but if it can keep up this level of work it will be good.",Boeing 737-800NG,Solo Leisure,Economy Class,Kolkata to Mumbai,October 2023,4,4,NA,NA,5,NA,5,yes
79,5th October 2023,Mukesh Venugopal,"""it was the happiest trip""",✅ Trip Verified ," We are very happy to be with the crews Ms Shanti and Shemin at the board of SG 17. It was our flight on Spicejet with ""Manav"" 8 months old our son. They are very nicely taken care of our son on board and provided all the assistance whenever needed. It was the happiest trip we had travelled in a while. Thankyou so much for Shanti, Shemin and all other members who assisted us. Have great future ahead.",NA,Family Leisure,Economy Class,Dubai to Kochi,October 2023,4,5,4,5,4,4,4,yes
80,4th October 2023,R Thamashil,"""they enforce a strict 7 kg limit""",✅ Trip Verified ,"  On 25 September 2023, I had the misfortune of flying with SpiceJet on flight [SG 17] from Dubai to Cochin. SpiceJet has  a weighing machine at the entrance to check the weight of each passenger's hand luggage and they enforce a strict 7 kg limit. If you exceed this limit, you are charged a70 AED per kg. This situation is unacceptable and amounts to nothing less than exploitation of passengers who choose SpiceJet for budget-friendly fares. To add to the disappointment, the condition of the aircraft itself was far from satisfactory. The seats looked worn out, and the cabin appearance was lackluster. I urge fellow travelers to exercise caution when considering SpiceJet for your flights.",NA,Business,Economy Class,Dubai to Cochin,September 2023,2,2,NA,1,1,1,1,no
81,2nd October 2023,Ramanathan Ramchandra,"""Excellent service""",✅ Trip Verified ,  Excellent service by the ground staff courteous beyond expectations always willing to help in the real sense and not lipservice i will recommend to all whom I know,NA,Family Leisure,Economy Class,Chennai to Hyderabad,September 2023,4,5,NA,NA,5,NA,5,yes
82,1st October 2023,S Harshun,"""a decent functional experience""",✅ Trip Verified ,"  
I had taken this evening flight to Calcutta, during the web check-in, I had opted for the random seat selection for which there would be no charges applied as I was travelling solo, so before 12 hours of the departure, I had received the seat. Check-in was done at the old T1 terminal at BOM where baggage drop was done swiftly as there was no line and queues which was surprising. The boarding started on time however I noticed that when I was about to greet the crew there were 2 crew members who were not really greeting any of the passengers and seem surprised that I wished them good evening when they reciprocated. Ideally greeting the passengers is something that should be standard. Also I noticed that the load on this flight was on the lighter side as well however due to the ATC clearances the actual pushback and departure was delayed by over 1 hour but this was not on the airline. The pilots did a good job of keeping the passengers updated about the reasons for the delay. The flight itself was operated on one of those Boeing 737-800NG aircraft that was painted in the erstwhile JetConnect liveries. The pilots tried to make the time en route on the flight and was able to retrieve my luggage soon without waiting too long. While Spicejet has been going through a lot of difficulties in recent times, and that was also reflected in the manner in which the crew seemed disinterested in greeting the passengers, there are still small things that the airline can do which can still make a small difference to the passenger experience because otherwise for the fare that was paid this was a decent functional experience that was able to get me safely to my destination.",Boeing 737-800NG,Solo Leisure,Economy Class,Mumbai to Kolkata,September 2023,3,2,NA,NA,4,NA,4,yes
83,27th September 2023,Guddu Kumar,"""Not a good experience""",Not Verified ,"  I booked the ticket from cleartrip app and I select window seat, but during boarding pass they change my seat from window to middle. I paid 300 for that seat. There no support from spicejet team. Not a good experience, seat is not good.",NA,Solo Leisure,Economy Class,Delhi to Chennai,September 2023,1,1,2,2,1,2,2,no
84,22nd September 2023,Rohit Chaturvedi,"""I was denied boarding""",✅ Trip Verified ,"  I recently booked a ticket from Chennai to Delhi on 6th September 2023. But, sadly I had to encounter the worst experience with Spicejet, where I was denied boarding on a mere request of writing only 2 words on the excess baggage receipt - ""Laptop Bag"" after payment of the excess baggage charges for the laptop bag that I was carrying. Such conduct from Spicejet was very unprofessional and dissatisfactory. When a customer pays the ticket price, he owns the right to travel through the flight and taking away this right is illegal in all terms. I cannot understand if there is a policy of spicejet to charge amounts for a laptop bag, what made the team cancel my onboarding on the request of adding these 2 words - ""Laptop Bag"" on the excess baggage charge payment receipt. To my utmost surprise, when I raised this with Spicejet, they are saying that I have only refused to travel and they did not deny onboarding. This is completely false, as any sensible person can vouch for it - if I would have to refuse travel I would not have even paid the excess baggage charges in the first instance. This is a pure betrayal from spicejet. At least, they should have the guts to accept what they did. They have even refused to refund the ticket price.",NA,Business,Economy Class,Chennai to Delhi,September 2023,1,NA,NA,NA,1,NA,1,no
85,21st September 2023,Mahek Sharma,"""A very bad experience""",Not Verified ,"  A very bad experience. The boarding was early but the take off, the landing, everything else was late. Even though we paid extra for leg space, we did not get any leg space our money was waste I also attached a photo showing how less out leg space was even though we paid extra money for it. We were supposed to land at 7:20 but we landed at 8. The luggage did not arrive till 9 even though the landing was at 8 we had to wait an hour for the luggage and the manager who was standing there also had 0 communication of where our luggage was. Indigo the flight which arrived later than spicejet also received their luggage on the same belt before us. A very bad experience one can say never flying in SpiceJet ever again.",NA,Family Leisure,Economy Class,Banglore to Mumbai,September 2023,1,2,2,2,1,1,1,no
86,17th September 2023,C Arthurs,"""Ground staff were excellent""",Not Verified ,"  Many changes to schedule, but communication was good. Ground staff were excellent dealing with delayed baggage problem, caused by my mistake in packing.",NA,Solo Leisure,Economy Class,Delhi to Kangra,September 2023,4,5,4,NA,5,NA,4,yes
87,16th September 2023,T Raj,"""Disheartening Experience""",Not Verified ,"  Disheartening Experience - Unprofessional Staff and Unreasonable Charges. My recent journey with SpiceJet from Calicut to Dubai was a complete disappointment. The check-in process was marred by unprofessional behavior from the staff. We encountered an unfortunate experience with the staff, who displayed aggression and utter disrespect towards passengers. Adding to the distress, the staff demanded an exorbitant additional charge for our luggage, including an unreasonable claim for my baby's stroller, which we had previously taken on the same route without any problems during our outbound flight. This inconsistency and unjustified charge left us deeply dissatisfied. Despite providing proof of double payment, SpiceJet is yet to refund the excessive amount they charged us under duress. It is disheartening to see an airline of this stature failing to provide basic customer satisfaction. I sincerely hope Spice Jet takes immediate action and thoroughly trains their staff to treat passengers with respect and empathy. As loyal customers, we expect a better travel experience and fair treatment. This incident has left me questioning whether I should ever consider flying with SpiceJet again.",NA,Family Leisure,Economy Class,Kozhikode to Dubai,July 2023,1,1,NA,NA,1,NA,1,no
88,13th September 2023,Lengoumang Haokip,"""I am satisfied and contented""",✅ Trip Verified ,"  Being bit unwell, the cabin crew took personal care of my condition. They offered me foods and drinks to help me remain stable throughout the journey. The crew gave high level of service and attention. I am satisfied and contented.",NA,Solo Leisure,Economy Class,Delhi to Shillong,September 2023,4,5,5,NA,5,NA,5,yes
89,31st August 2023,Feryal Banday,"""No respect for passengers time""",✅ Trip Verified ," If you are boarding a flight by SpiceJet, just know that they will delay by five hours. My flight, without blink of eye, was shifted from 4.30 to 8. And will there be another postponement? Who knows? The last time I travelled by SpiceJet in Oct 2022 from Calcutta to Delhi the flight which was supposed to leave at 9.45pm, left in the morning. They kept delaying all night, this flight was SG8252. This is BY FAR the worst airline I have ever been on and the experience is bad every single time. No respect for the passengers time at all. Horrifying.",NA,Solo Leisure,Economy Class,Srinagar to Delhi,August 2023,1,1,1,1,1,1,1,no
90,22nd August 2023,Sachin Temghare,"""I have not received my refund""",Not Verified ,"  I booked spice jet ticket on 16th August 2023 for Mumbai to Goa and Goa to Mumbai 15 passengers total Rs 69,114 was debited from my credit card and due to some technical reason my ticket was canceled, but asked for refund of the debited amount. hey mailed me and said that the money will be deposited in 48 hours but even after mailing I have not received my refund.",NA,Family Leisure,Economy Class,Mumbai to Goa,August 2023,NA,NA,NA,NA,NA,NA,1,no
91,6th August 2023,Sanjay Patnaik,"""Service is very good""",NA,"Service is very good,  I am impressed with Miss Renu  who gave the best services ever. Thanks to Renu who is very sweet by her nature as well as her service",NA,Business,Economy Class,Delhi to Bhubaneswar,July 2023,5,5,NA,NA,5,NA,5,yes
92,27th July 2023,Apurba Arun,"""SpiceJet experience was good""",Not Verified , SpiceJet experience was good. The crew members service and behaviour was also good. I can rate my flight experience on SpiceJet airlines flight 10/10.,NA,Family Leisure,Economy Class,Chennai to Durgapur,July 2023,5,5,4,4,5,1,5,yes
93,19th July 2023,Kousambi Roy,"""great service from crew""",Not Verified , Great on boarding and great service from crew. They greeted me with a smile and patience. Without asking the moment I got to my seat I was served with water.,NA,Business,Economy Class,Chennai to Port Blair,July 2023,5,5,5,NA,5,NA,5,yes
94,17th July 2023,R Lohana,"""Our flight was delayed 3 times""",Not Verified ,  Our flight was delayed 3 times (from 6 it became 7:14 then 8:10 and then 8:55) and even when the flight was delayed for the 3rd time they weren't sure if they're going to delay it again or not. They said it was because of a ‘technical difficulty’ but all the flights had been delayed so it definitely wasn't that. We demanded for free food but even that wasn't provided. We finally boarded the plane at 8:30 after arguing a lot. This was my first and last experience with them.,NA,Family Leisure,Economy Class,Delhi to Mumbai,July 2023,4,5,NA,NA,1,NA,2,no
95,11th July 2023,N Dantu,"""They kept delaying the departure""",✅ Trip Verified ,"  They kept delaying the departure 1 hour and again another hour, and again another hour. After almost 2.5 hours and making passenger sit in flight they say their is technical glitch.",NA,Solo Leisure,Economy Class,Delhi to Bangalore,July 2023,1,NA,NA,NA,1,NA,2,no
96,1st July 2023,M Fazil,"""Worse service ever""",✅ Trip Verified ,"  Worse service ever, misleading information, also they will charge you extra money in each step so if your ticket price is 1000 Aed then you will ending up paying 2000 because of their stupid policies. If you don’t like then they ask you board other flight",NA,Solo Leisure,Economy Class,Dubai to Delhi,July 2023,1,1,1,1,1,1,1,no
97,30th June 2023,R Shaeer,"""an utter disappoint""",✅ Trip Verified ," Worst domestic flying experience ever. They were constantly changing the timings of the flight, they were not taking any responsibility for delaying the flight and not even offered us refreshment willingly which is the in rules. My original flight was in 8:10 a.m. but after all the delays and rescheduling it started boarding in 7:00 p.m. Their behaviour was very rude and they won't take any responsibility for anything. 2 fellow passengers were in the airport since 12pm but they didn't offered them any refreshment or anything. SpiceJet is an utter disappoint as flight service provider. I would never every recommend SpiceJet for any kind of flying.",NA,Couple Leisure,Economy Class,Delhi to Srinagar,June 2023,1,2,1,2,1,1,1,no
98,19th June 2023,A Hamarata,"""Really worst experience""",✅ Trip Verified ,"  First of all please don’t trust on SpiceJet. They never on time. They can kill your planning. Unlimited rescheduling. If you have any urgent work, inter change of flight be careful. Really worst experience.",SG 937,Family Leisure,Economy Class,Pune to New Delhi,June 2023,1,1,1,1,1,1,1,no
99,14th June 2023,Akriti Singh,"""Inflight experience is wonderful""",✅ Trip Verified ,  Ground Staff and Customer Service Staff are very helpful and supportive. Inflight experience is wonderful and spice max facilities are an added advantage. Thank you and keep up the good work .,Boeing 737-800,Solo Leisure,Premium Economy,Dubai to Pune,June 2023,4,4,4,NA,5,NA,4,yes
100,12th June 2023,V Vikram,"""cancelled and no alternative flight available""",Not Verified , I had booked a flight from New Delhi to Shirdi travel date 17-June-23 and had accordingly booked my hotel and other itineraries. The booking was done way in advance to make sure everything is in order. Now 2 days back I received an SMS from SpiceJet that the flight has been cancelled and there is no alternative flight available. I spoke to SpiceJet agent and requested them to arrange a flight for me on another carrier which is Indigo on which I was told that I need to write to higher authorities. This is plainly making a fool out of the customer as now the only direct flight which is available is Indigo and is more than double the price I paid for SpiceJet flight booked in advance. SpiceJet always does this with their customers. If they are unable to operate they should shut down operations but shouldn’t cheat the customers. I had to pay INR 12000 extra for the alternate flight to reach Shirdi.,NA,Couple Leisure,Economy Class,New Delhi to Shirdi,June 2023,2,3,2,1,2,1,1,no
101,10th June 2023,Tanvi Yadav,"""Worst airline ever""",✅ Trip Verified ,"  My husband was traveling from Dubai to Delhi, his flight was supposed to be on 11:00 am which got delayed and scheduled at 6:00 pm. He waited there at the airport patiently and now they are asking him to reschedule his flight after 2 days or take total refund.  Worst airline ever.",NA,Business,Economy Class,Dubai to Delhi,June 2023,NA,NA,NA,NA,NA,NA,1,no
102,8th June 2023,Ieva Berica,"""The worst airline to fly with""!",✅ Trip Verified ,"  The worst airline to fly with in terms of time management. Last 5 flights I have taken with this airlines has resulted in dela . Todays flight is been already delayed by 1.5hr, which is very big disadvantage for me. The seats are uncomfortable and leg space is very minimal. Strongly don't recommend and not planning to take any further trips with this airlines",NA,Business,Economy Class,Srinagar to Delhi,June 2023,1,2,1,1,2,1,2,no
103,6th June 2023,Sreeram Singh,"""One of the worst flights""",Not Verified ," Staff at Delhi Airport misbehaved, insulted me and did not allowed me to board the SG 8192 from Delhi to Mumbai on 6 Jun 23 which was rescheduled from 1820 hrs to 1925 hrs on 6 Jun 23. SpiceJet did not send any SMS/email for reschedule. When I reached Airport at 1750hrs (85 min before), Security Staff at Airport didn't allowed me to enter as I couldn't show any SMS/email of reschedule. At 1825 I could enter and rushed to Spice Jet counter but they didn't allow to board the flight. When I shown my defence Id and informed that I am on official operational duties. They insulted me and still didn't allow to board the flight. One of the worst flights SpiceJet",NA,Family Leisure,Economy Class,Delhi to Mumbai,December 2022,1,1,1,1,1,1,1,no
104,5th June 2023,Venkataramani Sriraman,"""Will not consider this airline anymore""",Not Verified ,"  Pathetic and Terrible. Changed the schedule more than 10 times since the booking. At one stage the departure flight from destination became earlier dated than the departure flight from the origin. Due to this, I had to cancel my tickets and suffer losses. Will not consider this airline anymore. Worst experience. I think they make their revenue by people cancelling the flights rather flying with them. Long Live SpiceJet.",NA,Family Leisure,Economy Class,Chennai to Shiridi via Singapore,May 2023,1,1,1,1,1,1,1,no
105,2nd June 2023,N Mete,"""Terrible terrible experience""",Not Verified ," Delhi-Pune. The staff has no answers for our queries. Can't get valid explanations for flight delays, even for the ones as long as 10 hrs. They need to work on their management or shut the airlines. We look forward to flying with airlines like Vistara, Air India, Indigo, rather than an airline like this. When you look at the screen, you only find SpiceJet flights delayed. Terrible terrible experience.",NA,Family Leisure,Economy Class,Srinagar to Pune via Delhi,June 2023,1,1,1,1,1,1,1,no
106,2nd June 2023,Anil Magdum,"""Pathetic experience""",✅ Trip Verified ,  They kept changing flight timing from 8 pm on 1 June 2023 to 11:45 pm to 3.15 am on 2 June 2023. This keeps happening very regularly. Why do they give the initial timing when this delay happens so frequently. And staff are so less sensitive. No display about flight delay at boarding gate. Pathetic experience. Try to book one day in advance if someone is left with no other option than this airline.,NA,Solo Leisure,Economy Class,Pune to Dubai,June 2023,3,3,NA,1,3,NA,1,no
107,26th May 2023,Sajith Paul,"""stay away from this airline""",Not Verified ,  Such a lousy airline. They keep changing their departure timings so often that one would forget the real departure time. If possible stay away from this airline. They have delayed the flight timing by 5 hours and they have changed the departure timing thrice.,Boeing-737,Family Leisure,Economy Class,Portblair to Chennai,May 2023,1,1,NA,NA,1,NA,1,no
108,22nd May 2023,Neha Bhat,"""no courtesy shown to us by SpiceJet""",✅ Trip Verified ," We are a family of 3 and had booked a flight to Guwahati from Mumbai for 6.10am for Wednesday 17th May 2023. It was supposed to reach around 10. We had an onwards journey to Shillong. When we tried to check in, we realised that flight has changed to evening 19.00 hrs. To avoid losing a day in Shillong, we had to book a day prior and had to book a stay in Guwahati. Spent around 20k more. This flight was delayed by 30 min. On our return journey, we had a ticket from Guwahati for 17.10 hrs on 21st May 2023. Reaching Mumbai back at 20.30 hrs same day. While we tried checking in previous day, we learnt that flight time has changed to 23.30 hrs. And reaching back at 3.00am the next day. We had no choice as other airline flights were not available for 3 people or exorbitantly expensive. We had to continue and checked in. The flight was delayed from scheduled 23.30 hrs on 21st May to 00.45am on 22nd May. We have landed on T2 terminal at 4.20am. We have lost sleep, money and an entire of work day pre travel and post travel. We have barely slept. They have offered a sandwich and Rajma Chawl at the airport. It is a hardship which we will never forget and not recommend SpiceJet to anyone. The leg space between the chair is extremely low. An average height person like us was hitting knee to the seat ahead. Extremely bad experience both ways. There was no courtesy shown to us by SpiceJet ground staff and cabin crew. Just a customary apology was given. We will never recommend Spicejet airlines to anyone. If there was a zero star or negative star to rate, would have picked it to rate the service.",NA,Family Leisure,Economy Class,Mumbai to Guwahati,May 2023,1,1,NA,NA,1,NA,1,no
109,14th May 2023,Rakshit Gupta,"""seats were not as expected""",✅ Trip Verified ," One of the worst experiences on a flight. I was heading out from New Delhi to Bangalore and it was not worth the effort. The seats were not as expected cleaned, the seat covers was teared from one side, likewise the seat which is allotted to me don't had the seat movable button since it was broken, so all through the entire excursion I needed to sit truly awkward.",NA,Solo Leisure,Economy Class,New Delhi to Bangalore,May 2023,1,3,3,1,2,1,1,no
110,8th May 2023,Mujeer Hussain,"""horrible and insensitive experience""",✅ Trip Verified ,"  Booked a spicejet from port blair to Chennai on 6th May. After check-in was done and making us wait for 2 hours, flight was cancelled with a reason of operational issue. This cancellation happened after the flight was delayed 3 times. Spicejet is so horrible that they couldn’t arrange us another flight or consider rebooking our connecting flights. I had my another flight booked from Chennai to Bangalore on the same day which I had to cancel without any refund and spicejet just said ""Sorry"". Though spicejet gave accomodation which I never wanted this was a horrible and insensitive experience I had with spicejet.",NA,Couple Leisure,Economy Class,Port Blair to Chennai,May 2023,1,1,NA,NA,2,NA,1,no
111,30th April 2023,Valluri Srinivas,"""behaviour was not at all satisfactory""",✅ Trip Verified ,"  When I enter the airport, Spicejet person asked me whether I am having a printed boarding pass or not. I said that I am having the printed boarding pass and it's in my mobile, then he asked me to go the luggage dropping counter. The staff who was on the desk checked the weight of the luggage and asked me to screen the luggage and drop it in luggage belt. I said it's only hand luggage so I asked him to allow to carry with me. I also told him that I have travelled from Mumbai with same Hand luggage before two days. But he rudely asked me put in the luggage as the weight of the luggage is 8kgs. I requested him as I am having a connecting flight to Bhubaneswar so plz allow as it is just 1kg above the limit. But his behaviour was not at all satisfactory. I am posting this at 1:30pm sitting at boarding gate. Boarding is scheduled at 12:55pm and Boarding is not started.",NA,Business,Economy Class,Bhavnagar to Pune,April 2023,2,1,1,1,1,1,2,no
112,11th April 2023,Kajal Jain,"""The services are very pathetic""",✅ Trip Verified ,"  The services are very pathetic. The flight is re scheduled 3 times in a day. The worst part is they do no provide any compensation for the flights they delay. Not only today’s flight but the flight I have booked for 19 may is also rescheduled.  SpiceJet didn’t informed me about the same. The broker Cleartrip has informed about the same. I will have rethink about my decision for travelling in SpiceJet as I m not able to reach anywhere on time. My meetings, functions are all delayed because of the airline. My continuous 2 flights is been rescheduled to a different date.",NA,Solo Leisure,Economy Class,Goa to Pune,April 2023,1,1,1,1,1,1,1,no
113,11th April 2023,Harshada Newaskar,"""we are highly disappointed""",Not Verified ,  This is our first experience with Spicejet and we are highly disappointed. This is probably the worst Airline. Our flight got rescheduled 3 times and we had to wait for like 7 hours on the Airport which was so exhausting. Just one word - Pathetic,NA,Family Leisure,Economy Class,Goa to Pune,April 2023,1,1,NA,NA,2,NA,1,no
114,3rd April 2023,Dmitrii Karabanev,"""I could not fly anywhere""",✅ Trip Verified ,"  I had a complicated flight Goa-Chennai, Chennai-Dubai with IndiGo, and Wizz Air Dubai-Kutaisi. The employees at the airport told me that the first flight was delayed, and because of that I didn't get on all the other flights, and they couldn't offer me an alternative route. Because of this I could not fly anywhere, and my Indian visa expires, which threatens me with a fine and deportation. SpiceJet employees told me that they could refund my money only for the first flight in full, but even that did not comply and deducted a fine of 2930 rubles, writing that I did not show up at check-in, although I have an official letter from the employees.",NA,Solo Leisure,Economy Class,Goa to Chennai,March 2023,NA,NA,NA,NA,1,NA,1,no
115,25th March 2023,Mayank Baid,"""Highly disappointed""",Not Verified ,"  Very poor services. Highly disappointed. Round trip flight was booked, cancelled my return flight and didn't even compensate or accomodate me in other flight.",NA,Family Leisure,Economy Class,Jabalpur to Pune,February 2023,2,2,NA,NA,2,NA,1,no
